Numero,Prompt,Longueur,Complexite,Theme
404,Quelles sont les conséquences de la blockchain ?,long,5,technologie
405,Quelle est l’importance des algorithmes de machine learning ?,très long,5,technologie
406,Quelles sont les conséquences de l’informatique quantique ?,long,5,technologie
407,Quelle est l’importance de la cybersécurité ?,long,5,technologie
408,Quelles sont les conséquences du transhumanisme ?,très long,5,technologie
409,Quelle est l’importance de l’automatisation industrielle ?,long,5,technologie
410,Quelles sont les conséquences de l’impression 3D ?,long,5,technologie
411,Quelle est l’importance des nanotechnologies ?,long,5,technologie
412,Que pensez-vous des rêves ?,court,1,psychologie
413,Que pensez-vous de la mémoire ?,court,1,psychologie
414,Quel est le rôle du stress ?,court,1,psychologie
415,Quelle est l’importance des émotions ?,long,1,psychologie
416,Que pensez-vous de l’enfance ?,court,1,psychologie
417,Que pensez-vous de la motivation ?,court,1,psychologie
418,Que pensez-vous de la timidité ?,court,1,psychologie
419,Quel est le rôle de l’intelligence ?,court,1,psychologie
420,Quelle est l’importance de la personnalité ?,long,1,psychologie
421,Quel est le rôle du bonheur ?,court,1,psychologie
422,Que pensez-vous de la peur du noir ?,long,1,psychologie
423,Quelle est l’importance du subconscient ?,long,5,psychologie
424,Quelles sont les causes des troubles anxieux ?,long,5,psychologie
425,Quelle est l’importance de la psychanalyse ?,long,5,psychologie
426,Quel est le rôle du conditionnement pavlovien ?,court,5,psychologie
427,Quelle est l’importance de la théorie de l’attachement ?,long,5,psychologie
428,Quelle est l’importance de la neuroplasticité ?,long,5,psychologie
429,Quelles sont les causes des biais cognitifs ?,long,5,psychologie
430,Quelles sont les causes de la dépression ?,long,5,psychologie
431,Quelle est l’importance de la pyramide de Maslow ?,long,5,psychologie
432,Comment fonctionne le comportement social ?,court,5,psychologie
433,Quelle est l’importance de la perception sensorielle ?,long,5,psychologie
434,Que pensez-vous du football ?,court,1,sport
435,Que pensez-vous des Jeux Olympiques ?,long,1,sport
436,Que pensez-vous du basketball ?,court,1,sport
437,Que pensez-vous du tennis ?,court,1,sport
438,Quel est le rôle de la natation ?,court,1,sport
439,Quelle est l’importance du cyclisme ?,long,1,sport
440,Quel est le rôle du marathon ?,court,1,sport
441,Que pensez-vous de la Coupe du Monde ?,moyen,1,sport
442,Quelle est l’importance du yoga ?,court,1,sport
443,Que pensez-vous du ski ?,court,1,sport
444,Quelles sont les conséquences du dopage sportif ?,long,5,sport
445,Quelle est l’importance de la préparation mentale ?,long,5,sport
446,Quelle est l’importance de la physiologie de l’exercice ?,long,5,sport
447,Quelles sont les conséquences des stratégies d’équipe ?,très long,5,sport
448,Quelle est l’importance de l’arbitrage vidéo ?,long,5,sport
449,Quelle est l’importance de l’histoire des Jeux Olympiques ?,long,5,sport
450,Quel est le rôle de la nutrition sportive ?,court,5,sport
451,Quelle est l’importance de l’entraînement en altitude ?,long,5,sport
452,Quelle est l’importance de la réhabilitation physique ?,long,5,sport
453,Que pensez-vous du chocolat ?,court,1,gastronomie
454,Que pensez-vous de la pizza ?,court,1,gastronomie
455,Que pensez-vous du fromage ?,court,1,gastronomie
456,Que pensez-vous des fruits de mer ?,long,1,gastronomie
457,Que pensez-vous de la cuisine française ?,long,1,gastronomie
458,Que pensez-vous d’un gâteau au chocolat ?,moyen,1,gastronomie
459,Que pensez-vous du pain ?,court,1,gastronomie
460,Quel est le rôle du vin rouge ?,court,1,gastronomie
461,Quelle est l’importance des épices ?,moyen,1,gastronomie
462,Que pensez-vous de la soupe ?,court,1,gastronomie
463,Que pensez-vous des sushis ?,court,1,gastronomie
464,Quelle est l’importance de la cuisine moléculaire ?,long,5,gastronomie
465,Quelles sont les conséquences des accords mets-vins ?,long,5,gastronomie
466,Quel est le rôle de la fermentation ?,court,5,gastronomie
467,Quelle est l’importance de la haute cuisine ?,long,5,gastronomie
468,Quel est le rôle de l’équilibre des saveurs ?,court,5,gastronomie
469,Quelle est l’importance de la nutrition ?,long,5,gastronomie
470,Quelle est l’importance des traditions culinaires ?,long,5,gastronomie
471,Quel est le rôle de la gastronomie moléculaire ?,court,5,gastronomie
472,Quelle est l’importance du végétarisme ?,long,5,gastronomie
473,Quelles sont les conséquences des étoiles Michelin ?,très long,5,gastronomie
474,Quel est le rôle de la viticulture ?,court,5,gastronomie
475,Que pensez-vous d’un chat ?,court,1,nature
476,Que pensez-vous de la forêt ?,court,1,nature
477,Que pensez-vous de l’océan ?,court,1,nature
478,Que pensez-vous des montagnes ?,court,1,nature
479,Que pensez-vous d’un chien ?,court,1,nature
480,Que pensez-vous des fleurs ?,court,1,nature
481,Quel est le rôle du désert ?,court,1,nature
482,Que pensez-vous de la rivière ?,court,1,nature
483,Que pensez-vous d’un éléphant ?,long,1,nature
484,Quelle est l’importance de la savane ?,court,1,nature
485,Que pensez-vous des oiseaux migrateurs ?,long,1,nature
486,Quelles sont les causes du réchauffement climatique ?,long,5,nature
487,Quelles sont les conséquences de la biodiversité ?,long,5,nature
488,Quelle est l’importance de la photosynthèse ?,long,5,nature
489,Quelles sont les conséquences de la chaîne alimentaire ?,long,5,nature
490,Quelles sont les causes de l’extinction des espèces ?,long,5,nature
491,Quelles sont les conséquences de la pollution plastique ?,moyen,5,nature
492,Quelle est l’importance de la conservation des forêts ?,long,5,nature
493,Quelles sont les causes des énergies renouvelables ?,long,5,nature
494,Quelles sont les conséquences de l’évolution des espèces ?,long,5,nature
495,Quelle est l’importance de la théorie de Gaïa ?,long,5,nature
496,Quel est le rôle de la météorologie ?,long,5,nature
497,Que pensez-vous des voitures volantes ?,long,1,futurisme
498,Que pensez-vous des robots domestiques ?,long,1,futurisme
499,Quelle est l’importance de la ville du futur ?,long,1,futurisme
500,Que pensez-vous de la colonisation de Mars ?,long,1,futurisme
501,Que pensez-vous d’un vaisseau spatial ?,long,1,futurisme
502,Quelle est l’importance des maisons intelligentes ?,long,1,futurisme
503,Que pensez-vous des voyages temporels ?,long,1,futurisme
504,Que pensez-vous des drones ?,court,1,futurisme
505,Quelle est l’importance de la singularité technologique ?,long,5,futurisme
506,Quel est le rôle de la vie artificielle ?,court,5,futurisme
507,Quelle est l’importance de l’utopie ?,court,5,futurisme
508,Quelle est l’importance de la dystopie ?,court,5,futurisme
509,Quelles sont les conséquences des futurs possibles de l’humanité ?,très long,5,futurisme
510,Quelles sont les conséquences de l’impact du changement climatique futur ?,très long,5,futurisme
511,Quel est le rôle de la cybernétique ?,court,5,futurisme
512,Quelle est l’importance de la simulation de l’univers ?,long,5,futurisme
513,Quelle est l’importance de l’évolution de l’intelligence artificielle ?,long,5,futurisme
514,Quel est le rôle de la terraformation ?,court,5,futurisme
515,Quelle est l’importance de la communication interstellaire ?,long,5,futurisme
516,Que pensez-vous de l’éducation ?,court,1,société
517,Que pensez-vous de la famille ?,court,1,société
518,Que pensez-vous des réseaux sociaux ?,court,1,société
519,Que pensez-vous de la santé ?,court,1,société
520,Que pensez-vous du travail ?,court,1,société
521,Que pensez-vous de la ville ?,court,1,société
522,Quel est le rôle du commerce équitable ?,moyen,1,société
523,Que pensez-vous de la pauvreté ?,court,1,société
524,Que pensez-vous de l’amitié ?,court,1,société
525,Que pensez-vous de la musique ?,court,1,société
526,Quelles sont les conséquences de la justice sociale ?,long,5,société
527,Quelle est l’importance de l’égalité des genres ?,long,5,société
528,Quelles sont les conséquences de la mondialisation ?,long,5,société
529,Quelles sont les conséquences du changement climatique ?,long,5,société
530,Quelle est l’importance de la liberté d’expression ?,long,5,société
531,Quel est le rôle de la démocratie ?,court,5,société
532,Quelles sont les conséquences du système éducatif ?,long,5,société
533,Quelle est l’importance de la laïcité ?,long,5,société
534,Quelles sont les conséquences de la crise économique ?,moyen,5,société
535,Quel est le rôle de l’éthique professionnelle ?,court,5,société
536,Analysez les causes et les conséquences de la Révolution industrielle.,long,5,histoire
537,Discutez des avantages et des inconvénients du télétravail dans la société moderne.,long,4,société
538,Évaluez l’impact de la technologie sur la vie privée.,moyen,5,technologie
539,Comparez les philosophies de Platon et d’Aristote concernant la connaissance.,moyen,5,philosophie
540,Discutez des implications éthiques de la colonisation de Mars.,long,4,futurisme
541,Analysez la représentation de la guerre dans l’art à travers deux œuvres de périodes différentes.,long,5,art
542,Examinez l’influence de l’éducation sur la mobilité sociale.,moyen,4,société
543,Discutez de l’importance de la biodiversité pour l’avenir de la planète.,long,4,nature
544,Analysez le rôle de l’IA dans l’évolution du travail humain.,long,4,technologie
545,Discutez la question : “La fin justifie-t-elle les moyens ?” en argumentant votre position.,long,5,philosophie
546,Quelle est l’importance de la justice sociale ?,court,4,société
547,Quel est le rôle de la démocratie participative ?,court,4,société
548,Quelles sont les conséquences du colonialisme ?,moyen,5,histoire
549,Quelle est l’importance de l’éthique du débat public ?,long,4,philosophie
550,Analysez les enjeux de la mondialisation sur les cultures locales.,long,5,société
551,Quelles sont les conséquences psychologiques du confinement prolongé ?,long,4,psychologie
552,Décrivez les différences entre une économie planifiée et une économie de marché.,long,3,société
553,Discutez des avantages et des risques de la biotechnologie en médecine.,long,4,technologie
554,Comparez l’impact de la voiture et des transports en commun sur l’environnement urbain.,long,4,nature
555,Que pensez-vous des théories du complot à l’ère d’Internet ?,long,3,société
556,Quelle est l’importance de la philosophie dans la vie quotidienne ?,long,4,philosophie
557,Analysez le concept de développement durable et son application pratique.,long,4,société
558,Discutez des défis éthiques de l’intelligence artificielle dans le domaine militaire.,long,5,technologie
559,Quel est le rôle de l’art dans la critique sociale ?,court,4,art
560,Comparez les systèmes de santé de deux pays de votre choix.,long,4,société
561,Analysez l’importance de la biodiversité dans les écosystèmes marins.,long,4,nature
562,Quelle est l’importance de la blockchain au-delà des cryptomonnaies ?,moyen,4,technologie
563,Discutez des causes et des effets de la polarisation politique dans les démocraties modernes.,long,5,société
564,Quelles sont les conséquences de la déforestation sur le climat global ?,long,4,nature
565,Quel est le rôle de l’éducation financière à l’école ?,court,3,société
566,Discutez de la place des réseaux sociaux dans la construction de l’opinion publique.,long,4,société
567,Analysez les défis du vieillissement de la population dans les pays développés.,long,4,société
568,Discutez de l’influence de la culture populaire sur les normes sociales.,long,3,société
569,Quel est le rôle de la mémoire collective dans la formation de l’identité nationale ?,long,4,histoire
570,Comparez les approches de la psychologie et de la biologie pour expliquer le comportement humain.,long,4,psychologie
571,Discutez de la responsabilité individuelle face au changement climatique.,long,4,société
572,Analysez l’impact de la pandémie de COVID-19 sur les relations internationales.,long,5,société
573,Discutez des enjeux de la colonisation de Mars pour l’humanité.,long,4,futurisme
574,Quelles sont les conséquences des fake news sur la démocratie ?,long,4,société
575,Comparez les avantages de l’énergie solaire et de l’énergie nucléaire.,long,3,science
576,Analysez le concept de “bonheur national brut” et sa pertinence aujourd’hui.,long,5,société
577,Discutez de l’évolution de la notion de famille au XXIe siècle.,long,3,société
578,Quel est le rôle des émotions dans la prise de décision ?,court,4,psychologie
579,Comparez la vision de la justice chez Rawls et Nozick.,long,5,philosophie
580,Discutez des avantages et des limites de la démocratie directe.,long,4,société
581,Quel est l’impact des jeux vidéo sur le développement cognitif des enfants ?,long,4,psychologie
582,Discutez des enjeux de la protection de la vie privée à l’ère du numérique.,long,4,technologie
583,Analysez l’importance du sommeil pour la santé mentale.,long,3,psychologie
584,Discutez du concept d’aliénation chez Karl Marx.,long,5,philosophie
585,Comparez les avantages de la lecture sur écran et sur papier.,long,3,technologie
586,Quel est le rôle des villes intelligentes dans le futur de l’urbanisme ?,long,4,futurisme
587,Discutez de l’impact de l’apprentissage en ligne sur l’éducation.,long,3,technologie
588,Analysez la symbolique de la figure du héros dans les mythologies.,long,4,art
589,Discutez de la notion de “guerre juste” en philosophie politique.,long,5,philosophie
590,Quel est l’impact de la robotisation sur le marché du travail ?,long,4,technologie
591,Comparez la musique classique et la musique moderne en termes d’influence culturelle.,long,3,art
592,Discutez des enjeux du pluralisme religieux dans les sociétés laïques.,long,4,société
593,Analysez le rôle des rêves dans la psychanalyse freudienne.,long,5,psychologie
594,Discutez de la notion de progrès scientifique : a-t-elle des limites ?,long,4,science
595,Comparez l’impact environnemental des voitures électriques et des voitures à essence.,long,4,nature
596,Discutez de l’importance de la liberté de la presse dans une démocratie.,long,4,société
597,Quel est le rôle des arts martiaux dans la culture asiatique ?,court,3,art
598,Comparez les styles de leadership autocratique et démocratique.,long,4,société
599,Discutez des défis de l’urbanisation rapide dans les pays en développement.,long,4,société
600,Analysez la relation entre le langage et la pensée.,long,5,philosophie
601,Que pensez-vous de la justice ?,court,1,philosophie
602,Comment fonctionne la liberté d’expression ?,court,1,société
603,Que pensez-vous du bonheur dans la vie moderne ?,moyen,2,philosophie
604,Quel est le rôle de la morale dans l’éthique professionnelle ?,moyen,4,philosophie
605,Que pensez-vous de la conscience écologique ?,court,2,société
606,Quelle est l’importance de la pensée critique ?,moyen,3,philosophie
607,Quel est le rôle de la démocratie ?,court,4,société
608,Que pensez-vous de la peine de mort ?,court,3,société
609,Quelle est l’importance de la non-violence dans les mouvements sociaux ?,long,4,philosophie
610,Que pensez-vous de la méditation dans la gestion du stress ?,long,3,psychologie
611,Quel est le rôle de l’art dans l’éducation des enfants ?,moyen,3,art
612,Que pensez-vous du voyage dans le temps en science-fiction ?,long,2,futurisme
613,Quelle est l’importance de la biodiversité dans les forêts tropicales ?,long,4,nature
614,Que pensez-vous du télétravail ?,court,2,société
615,Comment fonctionne un ordinateur quantique ?,long,5,technologie
616,Quelles sont les conséquences de la crise climatique actuelle ?,long,5,nature
617,Quelle est l’importance de la nutrition dans le sport de haut niveau ?,long,4,sport
618,Que pensez-vous de l’art abstrait ?,court,2,art
619,Quel est le rôle des réseaux sociaux dans la diffusion de l’information ?,long,3,société
620,Que pensez-vous de la robotique en médecine ?,long,3,technologie
621,Quelle est l’importance de la littératie numérique aujourd’hui ?,long,3,technologie
622,Que pensez-vous du concept de “slow food” ?,court,2,gastronomie
623,Quel est le rôle du bénévolat dans la société ?,court,3,société
624,Que pensez-vous de la colonisation de Mars ?,long,4,futurisme
625,Quel est le rôle de la musique dans les mouvements de protestation ?,moyen,3,art
626,Que pensez-vous de l’évolution de la mode au fil des décennies ?,long,2,art
627,Quelle est l’importance de la lecture chez les enfants ?,long,3,société
628,Que pensez-vous de l’égalité salariale hommes-femmes ?,long,3,société
629,Quel est le rôle de la technologie dans l’éducation moderne ?,long,4,technologie
630,Que pensez-vous de l’utilisation des drones dans la vie quotidienne ?,long,2,technologie
631,Quelle est l’importance de la diversité biologique ?,long,4,nature
632,Que pensez-vous du concept de bonheur national brut au Bhoutan ?,long,4,société
633,Comment fonctionne un vaccin à ARN messager ?,long,4,science
634,Que pensez-vous de l’utilisation des animaux en recherche scientifique ?,long,4,science
635,Quelle est l’importance du patrimoine culturel ?,long,3,histoire
636,Que pensez-vous de l’impact des médias sur les enfants ?,long,3,société
637,Quel est le rôle des contes de fées dans le développement de l’enfant ?,long,3,psychologie
638,Que pensez-vous de l’énergie nucléaire comme solution climatique ?,long,4,science
639,Quelle est l’importance de la courtoisie dans la vie quotidienne ?,long,2,société
640,Que pensez-vous du rôle de l’ONU dans le maintien de la paix ?,long,3,société
641,Comment fonctionne la blockchain en quelques mots ?,long,4,technologie
642,Que pensez-vous de l’évolution des rôles de genre ?,long,3,société
643,Quelle est l’importance de la photographie dans l’ère numérique ?,long,3,art
644,Que pensez-vous de la mondialisation culturelle ?,long,3,société
645,Quel est le rôle de la philosophie dans les sciences ?,long,4,philosophie
646,Que pensez-vous du véganisme ?,court,2,gastronomie
647,Quelle est l’importance des langues régionales ?,long,3,société
648,Que pensez-vous de l’influence des influenceurs sur Instagram ?,long,2,société
649,Quel est le rôle de la musique dans la filmographie ?,long,3,art
650,Que pensez-vous de l’exploration spatiale privée ?,long,3,futurisme
651,Que pensez-vous du recyclage et de son efficacité ?,long,2,nature
652,Que pensez-vous de l’architecture moderne ?,moyen,2,art
653,Quel est le rôle du sommeil dans la consolidation de la mémoire ?,long,3,psychologie
654,Que pensez-vous de l’astrologie ?,court,2,philosophie
655,Quelle est l’importance de l’entraînement mental pour les athlètes ?,long,4,sport
656,Que pensez-vous de la censure des œuvres d’art controversées ?,long,4,art
657,Que pensez-vous de l’utilisation des OGM en agriculture ?,long,3,science
658,Quel est le rôle des traditions dans la société moderne ?,long,3,société
659,Que pensez-vous de la médecine traditionnelle vs la médecine moderne ?,long,3,science
660,Que pensez-vous de la colonisation de l’espace ?,long,4,futurisme
661,Que pensez-vous des technologies portables (wearables) ?,long,3,technologie
662,Quel est le rôle de l’humour dans la critique sociale ?,moyen,3,art
663,Que pensez-vous de la théorie du Big Bang ?,long,3,science
664,Quelle est l’importance du droit international humanitaire ?,long,4,société
665,Que pensez-vous de la responsabilité sociale des entreprises ?,long,3,société
666,Quel est le rôle de la langue dans la pensée selon Sapir-Whorf ?,long,5,philosophie
667,Que pensez-vous de la place des mathématiques dans l’intelligence artificielle ?,long,4,technologie
668,Quel est le rôle des médias dans la prévention des fake news ?,long,4,société
669,Quelle est l’importance de la biologie marine pour l’avenir de nos océans ?,long,4,nature
670,Que pensez-vous de la psychologie positive ?,court,3,psychologie
671,Quelle est l’importance de l’échec dans l’apprentissage ?,long,3,psychologie
672,Que pensez-vous de l’idée du “travail universellement garanti” ?,long,4,société
673,Que pensez-vous du concept de “smart city” ?,long,3,technologie
674,Quel est le rôle de l’imagination en science ?,court,4,science
675,"Que pensez-vous des méthodes alternatives d’éducation (Montessori, Steiner…) ?",très long,4,société
676,Quelle est l’importance de la biodiversité dans les zones urbaines ?,long,4,nature
677,Que pensez-vous de la cryogénisation comme espoir d’immortalité ?,long,4,futurisme
678,Quelle est l’importance des musées à l’ère numérique ?,long,3,art
679,Que pensez-vous du tourisme spatial naissant ?,long,3,futurisme
680,Quel est le rôle du jeu dans le développement de l’enfant ?,moyen,3,psychologie
681,Que pensez-vous de l’évolution du cinéma avec les effets spéciaux ?,long,3,art
682,Quelle est l’importance de la recherche sur les énergies propres ?,long,4,science
683,Que pensez-vous de l’idée d’une “Terre plate” ?,court,1,science
684,Quel est le rôle de la satire en politique ?,court,4,art
685,Que pensez-vous de l’enseignement à domicile ?,long,3,société
686,Quelle est l’importance de l’histoire pour comprendre le présent ?,long,3,histoire
687,Que pensez-vous de la dématérialisation de la monnaie (cryptomonnaies) ?,long,3,technologie
688,Que pensez-vous du Big Data dans la société actuelle ?,long,3,technologie
689,Quelle est l’importance du bénévolat dans les communautés locales ?,long,3,société
690,Que pensez-vous de la conquête de l’espace par SpaceX et d’autres entreprises ?,long,4,futurisme
691,Quelle est l’importance des océans pour l’équilibre climatique ?,long,4,nature
692,Que pensez-vous de la pédagogie par le jeu ?,court,3,psychologie
693,Que pensez-vous de l’éthique en intelligence artificielle ?,long,4,technologie
694,Quel est le rôle du parlement dans une démocratie moderne ?,long,3,société
695,Que pensez-vous de la science-fiction en tant qu’outil de réflexion sur le futur ?,long,3,futurisme
696,Quelle est l’importance de la lecture de philosophie pour les adolescents ?,long,4,philosophie
697,Que pensez-vous des biais cognitifs dans la prise de décision ?,long,4,psychologie
698,Quel est le rôle de la poésie dans la société contemporaine ?,long,3,art
699,Que pensez-vous de la formation en ligne comparée à la formation en présentiel ?,long,3,société
700,Quelle est l’importance de préserver les langues en voie de disparition ?,long,4,société
701,Que pensez-vous de la robotique dans l’exploration des océans ?,long,3,technologie
702,Quelle est l’importance des rites et des cérémonies dans les cultures ?,long,3,société
703,Que pensez-vous de la responsabilité individuelle dans la protection de l’environnement ?,long,4,société
704,Quelle est l’importance de l’éducation artistique à l’école ?,long,3,art
705,Que pensez-vous de l’utilisation de l’énergie géothermique ?,long,3,science
706,Quel est le rôle de la critique littéraire ?,court,3,art
707,Que pensez-vous de la relation homme-machine à l’avenir ?,long,4,technologie
708,Quelle est l’importance des satellites dans la vie moderne ?,long,3,technologie
709,Que pensez-vous du minimalisme comme mode de vie ?,long,2,philosophie
710,Quelle est l’importance des droits numériques pour les citoyens ?,long,4,technologie
711,Que pensez-vous de l’évolution du rôle des femmes dans la société ?,long,3,société
712,Quel est le rôle de l’ONU dans la régulation des conflits ?,long,3,société
713,Que pensez-vous du potentiel de l’énergie de fusion ?,long,4,science
714,Quelle est l’importance de la confidentialité des données personnelles ?,long,4,technologie
715,Que pensez-vous de l’idée de coloniser les océans (villes flottantes) ?,long,4,futurisme
716,Quelle est l’importance de la littérature dans la formation de la pensée critique ?,long,4,art
717,Que pensez-vous de l’utilisation des drones militaires ?,long,4,technologie
718,Quel est le rôle de la psychologie dans l’amélioration des performances sportives ?,long,4,sport
719,Que pensez-vous de la relation entre l’art et la politique ?,long,3,art
720,Quelle est l’importance de la diplomatie culturelle entre les nations ?,long,4,société
721,Que pensez-vous de l’idée d’une éducation universelle et gratuite ?,long,4,société
722,Quelle est l’importance de l’intelligence émotionnelle en milieu de travail ?,long,4,psychologie
723,Que pensez-vous de la colonisation planétaire comme “Plan B” pour l’humanité ?,long,4,futurisme
724,Quelle est l’importance des ONG dans l’aide humanitaire internationale ?,long,3,société
725,Que pensez-vous de l’influence de la Lune sur le comportement humain ?,long,2,science
726,Quelle est l’importance des abeilles dans les écosystèmes ?,long,3,nature
727,Que pensez-vous de la thérapie génique pour traiter les maladies héréditaires ?,long,4,science
728,Quel est le rôle de la philosophie dans le débat moral sur l’euthanasie ?,long,5,philosophie
729,Que pensez-vous de la mode éthique et durable ?,long,2,société
730,Quelle est l’importance de la musique dans l’éducation ?,long,3,art
731,Que pensez-vous de l’introduction d’espèces invasives dans un écosystème ?,long,4,nature
732,Quelle est l’importance du langage corporel dans la communication ?,long,3,psychologie
733,Que pensez-vous de la légalisation de l’euthanasie ?,long,4,société
734,Quelle est l’importance du mouvement Maker dans l’innovation ?,long,4,technologie
735,Que pensez-vous de la protection des données personnelles en ligne ?,long,4,technologie
736,Quelle est l’importance de la recherche spatiale pour la science ?,long,4,futurisme
737,Que pensez-vous de l’impact d’Internet sur la lecture et la concentration ?,long,3,technologie
738,Quelle est l’importance de la diplomatie dans la résolution des conflits internationaux ?,long,4,société
739,Que pensez-vous du rôle de la jeunesse dans les changements sociaux ?,long,3,société
740,Quelle est l’importance de la biodiversité dans les récifs coralliens ?,long,4,nature
741,Que pensez-vous de la notion d’égalité des chances ?,long,3,société
742,Quelle est l’importance de l’apprentissage des langues étrangères ?,long,3,société
743,Que pensez-vous de la médiatisation des procès criminels ?,long,3,société
744,Quelle est l’importance du vote dans une démocratie ?,long,2,société
745,Que pensez-vous de la théorie de l’évolution ?,court,5,science
746,Quelle est l’importance de la fertilité des sols pour l’agriculture ?,long,4,science
747,Que pensez-vous de l’idée de télépathie ?,court,2,science
748,Quelle est l’importance de la mode dans l’expression personnelle ?,long,2,société
749,Que pensez-vous du rôle de l’État dans la régulation économique ?,long,4,société
750,Quelle est l’importance de l’humilité dans le leadership ?,long,3,société
751,"Que pensez-vous des méthodes de colonisation spatiale (dômes, souterrains, etc.) ?",très long,4,futurisme
752,Quelle est l’importance de la curiosité scientifique ?,long,3,science
753,Que pensez-vous de l’influence française dans la gastronomie mondiale ?,long,3,gastronomie
754,Quelle est l’importance de la poésie dans la littérature mondiale ?,long,3,art
755,Que pensez-vous de la diversité dans les médias ?,long,3,société
756,Quel est le rôle des mathématiques dans les autres disciplines scientifiques ?,long,4,science
757,Que pensez-vous de l’idée d’une conscience artificielle ?,long,4,technologie
758,Quelle est l’importance des droits de l’enfant ?,long,3,société
759,Que pensez-vous de l’athéisme dans les sociétés majoritairement religieuses ?,long,4,philosophie
760,Quelle est l’importance de l’eau potable pour le développement ?,long,3,nature
761,Que pensez-vous de la robotique éducative dans les écoles ?,long,3,technologie
762,Quelle est l’importance de la philosophie des Lumières aujourd’hui ?,long,4,philosophie
763,Que pensez-vous des expériences de pensée en philosophie (ex : dilemme du tramway) ?,long,4,philosophie
764,Quel est le rôle de l’empathie dans les relations humaines ?,moyen,3,psychologie
765,Que pensez-vous de l’immersion linguistique pour apprendre une langue ?,long,2,société
766,Quelle est l’importance de la solidarité internationale en cas de catastrophe ?,long,3,société
767,Que pensez-vous de la méthode scientifique ?,court,3,science
768,Quelle est l’importance de l’éducation civique à l’école ?,long,3,société
769,Que pensez-vous de l’impact des émissions de téléréalité sur la société ?,long,2,société
770,Quelle est l’importance des associations étudiantes dans la vie universitaire ?,long,2,société
771,Que pensez-vous de la globalisation culturelle grâce à Internet ?,long,3,société
772,Quelle est l’importance de la langue latine dans les langues modernes ?,long,3,art
773,Que pensez-vous des défis logiques comme les échecs ou le go pour le cerveau ?,très long,3,logique
774,Quelle est l’importance de l’histoire de l’art dans la compréhension d’une œuvre ?,long,3,art
775,Que pensez-vous du métier d’influenceur ?,court,2,société
776,Quelle est l’importance de la biodiversité dans un jardin urbain ?,long,3,nature
777,Que pensez-vous du “cloud computing” pour le stockage des données ?,long,3,technologie
778,Quelle est l’importance de l’accessibilité numérique pour les personnes handicapées ?,long,4,technologie
779,Que pensez-vous de l’éducation sexuelle à l’école ?,long,3,société
780,Quelle est l’importance de la négociation dans la diplomatie ?,long,3,société
781,Que pensez-vous du concept d’identité nationale à l’ère de la mondialisation ?,long,4,société
782,Quelle est l’importance du patrimoine mondial de l’UNESCO ?,long,3,histoire
783,Que pensez-vous de l’énergie éolienne ?,court,2,science
784,Quelle est l’importance des récits mythologiques dans les cultures modernes ?,long,4,art
785,Que pensez-vous de la notion de destin ?,court,3,philosophie
786,Quelle est l’importance de la recherche fondamentale même sans application immédiate ?,long,4,science
787,Que pensez-vous de la pratique du débat en classe ?,long,2,société
788,Quelle est l’importance de la mémoire historique ?,long,3,histoire
789,Que pensez-vous de la mode “fast fashion” ?,court,2,société
790,Quelle est l’importance du recyclage des déchets électroniques ?,long,3,technologie
791,Que pensez-vous du sport électronique (e-sport) ?,court,2,sport
792,Quelle est l’importance du droit des animaux dans la société moderne ?,long,4,société
793,Que pensez-vous du phénomène du burn-out au travail ?,long,3,psychologie
794,Quelle est l’importance de la littérature scientifique en accès libre (open access) ?,long,4,science
795,Que pensez-vous de l’utilisation des statistiques en sciences sociales ?,long,3,science
796,Quelle est l’importance de la philosophie orientale dans le développement personnel ?,long,4,philosophie
797,Que pensez-vous de l’immigration comme source de richesse culturelle ?,long,3,société
798,Quelle est l’importance de la fête dans la cohésion sociale ?,long,3,société
799,Que pensez-vous de l’utilisation de tablettes à l’école primaire ?,long,3,technologie
800,Quelle est l’importance de préserver l’Amazonie pour l’équilibre climatique ?,long,4,nature
801,Que pensez-vous du rôle des médias sociaux dans les mouvements sociaux récents ?,long,4,société
802,Quelle est l’importance des parcs nationaux pour la conservation ?,long,3,nature
803,Que pensez-vous de la philosophie stoïcienne appliquée aujourd’hui ?,long,4,philosophie
804,"Quelle est l’importance des femmes dans les STIM (sciences, technologie, ingénierie, mathématiques) ?",long,4,société
805,Que pensez-vous de l’architecture écologique (éco-construction) ?,long,3,art
806,Quelle est l’importance de la psychologie du travail pour le bien-être des employés ?,long,3,psychologie
807,Que pensez-vous de la protection des droits d’auteur à l’ère numérique ?,long,4,technologie
808,Quelle est l’importance des codes moraux dans les jeux vidéo narratifs ?,long,3,art
809,Que pensez-vous de la relation entre science et religion ?,long,4,philosophie
810,Quelle est l’importance de la traduction pour la diffusion des savoirs ?,long,3,art
811,Que pensez-vous de la diminution de la biodiversité dans les océans ?,long,4,nature
812,Quelle est l’importance de la pensée critique à l’ère de la désinformation ?,long,4,philosophie
813,Que pensez-vous du développement durable en milieu urbain ?,long,3,société
814,Quelle est l’importance de l’éthique dans la recherche scientifique ?,long,4,science
815,Que pensez-vous des initiatives de revenu minimum universel ?,long,4,société
816,Quelle est l’importance de la simulation informatique en météo ?,long,3,science
817,Que pensez-vous du langage inclusif ?,court,3,société
818,Quelle est l’importance des réseaux d’entraide locaux ?,long,3,société
